league,t1,t2,top_t1,jung_t1,mid_t1,adc_t1,sup_t1,top_t2,jung_t2,mid_t2,adc_t2,sup_t2,total_kills,bet_value
LCK,Gen.G Global Academy,DRX Challengers,Gwen,Jarvan IV,Orianna,Lucian,Braum,Ambessa,Wukong,Taliyah,Senna,Leona,33,29.5
LCK,Gen.G Global Academy,DRX Challengers,Galio,Nocturne,Azir,Corki,Rell,Rumble,Xin Zhao,Sylas,Sivir,Renata Glasc,51,29.5
LCK,DRX,Dplus KIA,Gwen,Wukong,Taliyah,Miss Fortune,Rell,Aurora,Xin Zhao,Twisted Fate,Ezreal,Braum,25,26.5
LCK,DRX,Dplus KIA,Ambessa,Skarner,Azir,Sivir,Karma,Rumble,Sejuani,Yone,Corki,Neeko,19,26.5
LVP SL,Guasones,Los Heretics,Ambessa,Xin Zhao,Aurora,Varus,Bard,Jayce,Vi,Mel,Ziggs,Rell,36,26.5
NLC,NORD Esports,Bulldog Esports,Rumble,Wukong,Ahri,Zeri,Alistar,Sion,Jarvan IV,Aurora,Lucian,Nami,29,33.5
NLC,NORD Esports,Bulldog Esports,Aatrox,Trundle,Annie,Smolder,Rakan,Yorick,Nocturne,Taliyah,Jhin,Neeko,27,33.5
LVP SL,Barça eSports,Veni Vidi Vici,Ambessa,Vi,Hwei,Smolder,Bard,Ornn,Jarvan IV,Ziggs,Xayah,Nautilus,36,30.5
LVP SL,Veni Vidi Vici,ZETA,Ambessa,Vi,Hwei,Smolder,Bard,Ornn,Jarvan IV,Ziggs,Xayah,Nautilus,36,30.5
CD,RED Academy,e-Champ Gaming,Rumble,Sejuani,Yone,Lucian,Rell,Ambessa,Naafiri,Taliyah,Corki,Nautilus,35,31.5
CD,Stellae Gaming,Los Grandes,Sion,Pantheon,Azir,Jhin,Rell,Camille,Vi,Akali,Senna,Nautilus,35,30.5
CD,Alpha7 Esports,Corinthians Esports,Rumble,Sejuani,Yone,Ezreal,Bard,Shen,Naafiri,Orianna,Kai'Sa,Neeko,25,31.5
LCK,BNK FEARX,OKSavingsBank BRION,Rumble,Wukong,Azir,Sivir,Braum,Gwen,Vi,Ahri,Lucian,Rell,36,25.5
LCK,BNK FEARX,OKSavingsBank BRION,Ornn,Xin Zhao,Akali,Corki,Poppy,Renekton,Nocturne,Orianna,Kai'Sa,Alistar,43,25.5
LCK,OKSavingsBank BRION Challengers,DN Freecs Challengers,Rumble,Wukong,Taliyah,Sivir,Rell,Aurora,Vi,Ahri,Kai'Sa,Neeko,23,29.5
